year|name|hLink|date|maxWind|minPressure|deaths|damage|landfall
2010|Hurricane Otto|/hurricane/at201015.asp|10/06-10/17|85|976|0|0|No US Landfall
2010|Hurricane Paula|/hurricane/at201016.asp|10/11-10/15|105|981|1|0|No US Landfall
2010|Hurricane Richard|/hurricane/at201017.asp|10/19-10/26|100|978|1|0|No US Landfall
2010|Hurricane Shary|/hurricane/at201018.asp|10/28-10/30|75|989|0|0|No US Landfall
2010|Hurricane Tomas|/hurricane/at201019.asp|10/29-11/10|100|982|44|0|No US Landfall
2011|Tropical Storm Arlene|/hurricane/at20111.asp|06/29-07/01|65|994|0|0|unknown
2011|Tropical Storm Bret|/hurricane/at20112.asp|07/17-07/22|65|996|0|0|unknown
2011|Tropical Storm Cindy|/hurricane/at20113.asp|07/20-07/23|60|1000|0|0|unknown
2011|Tropical Storm Don|/hurricane/at20114.asp|07/27-07/30|50|998|0|0|unknown
2011|Tropical Depression Emily|/hurricane/at20115.asp|08/06-08/07|35|1011|0|0|unknown
2011|Tropical Storm Franklin|/hurricane/at20116.asp|08/12-08/14|45|1004|0|0|unknown
2011|Tropical Storm Gert|/hurricane/at20117.asp|08/14-08/16|60|1000|0|0|unknown
2011|Tropical Storm Harvey|/hurricane/at20118.asp|08/19-08/22|60|994|0|0|unknown
2011|Hurricane Irene|/hurricane/at20119.asp|08/20-08/29|120|942|0|0|unknown
2011|Tropical Depression Ten|/hurricane/at201110.asp|08/25-08/27|35|1007|0|0|unknown
2011|Tropical Storm Jose|/hurricane/at201111.asp|08/28-08/29|45|1007|0|0|unknown
2011|Hurricane Katia|/hurricane/at201112.asp|08/29-09/10|135|946|0|0|unknown
2011|Tropical Storm Lee|/hurricane/at201113.asp|09/02-09/05|60|986|0|0|unknown
2011|Hurricane Maria|/hurricane/at201114.asp|09/06-09/16|80|979|0|0|unknown
2011|Tropical Storm Nate|/hurricane/at201115.asp|09/07-09/12|70|994|0|0|unknown
2011|Hurricane Ophelia|/hurricane/at201116.asp|09/21-10/03|140|940|0|0|unknown
2011|Hurricane Philippe|/hurricane/at201117.asp|09/24-10/09|90|976|0|0|unknown
2011|Hurricane Rina|/hurricane/at201118.asp|10/23-10/28|110|966|0|0|unknown
2011|Tropical Storm Sean|/hurricane/at201119.asp|11/08-11/11|65|983|0|0|unknown
2012|Tropical Storm Alberto|/hurricane/at20121.asp|05/19-05/22|50|998|0|0|No US Landfall
2012|Tropical Storm Beryl|/hurricane/at20122.asp|05/26-05/30|70|993|1|0.148|Tropical Storm
2012|Hurricane Chris|/hurricane/at201203.asp|6/19-6/22|75|987|0|0|No US Landfall
2012|Tropical Storm Debby|/hurricane/at201204.asp|6/23-6/27|60|991|7|308.7|Tropical Storm
2012|Hurricane Ernesto|/hurricane/at201205.asp|8/01-8/10|85|980|7|174|No US Landfall
2012|Tropical Storm Florence|/hurricane/at201206.asp|8/04-8/06|60|1000|0|0|No US Landfall
2012|Tropical Storm Helene|/hurricane/at201207.asp|8/17-8/19|45|1004|2|17|No US Landfall
2012|Hurricane Gordon|/hurricane/at201208.asp|8/15-8/20|110|965|0|0|No US Landfall
2012|Hurricane Isaac|/hurricane/at201209.asp|8/21-8/30|80|968|34|2,390|Category 1 Hurricane
2012|Tropical Storm Joyce|/hurricane/at201210.asp|8/22-8/24|40|1006|0|0|No US Landfall
2012|Hurricane Kirk|/hurricane/at201211.asp|8/28-9/02|105|970|0|0|No US Landfall
2012|Hurricane Leslie|/hurricane/at201212.asp|8/30-9/11|75|968|0|10.1|No US Landfall
2012|Hurricane Michael|/hurricane/at201213.asp|9/03-9/11|115|964|0|0|No US Landfall
2012|Hurricane Nadine|/hurricane/at201214.asp|9/23-10/04|90|978|0|0|No US Landfall
2012|Tropical Storm Oscar|/hurricane/at201215.asp|10/03-10/05|50|997|0|0|No US Landfall
2012|Tropical Storm Patty|/hurricane/at201216.asp|10/11-10/13|45|1005|0|0|No US Landfall
2012|Hurricane Rafael|/hurricane/at201217.asp|10/12-10/17|90|969|1|2|No US Landfall
2012|Hurricane Sandy|/hurricane/at201218.asp|10/22-10/30|105|940|147|>75,000|Extratropical Cyclone
2012|Tropical Storm Tony|/hurricane/at201219.asp|10/22-10/25|50|1000|0|0|No US Landfall
2013|Tropical Storm Andrea|/hurricane/at201301.asp|6/05-6/08|65|993|4|0.086|Tropical Storm
2013|Tropical Storm Barry|/hurricane/at201302.asp|6/17-6/19|40|1005|5|Minimal|None
2013|Tropical Storm Chantal|/hurricane/at201303.asp|7/08-7/10|65|1005|1|10|None
2013|Tropical Depression Dorian|/hurricane/at201304.asp|8/03-8/3|35|1013|0|0|None
2013|Tropical Storm Erin|/hurricane/at201305.asp|8/15-8/18|40|1006|0|0|None
2013|Tropical Storm Fernand|/hurricane/at201306.asp|8/25-8/26|50|1001|14|Millions|None
2013|Tropical Storm Gabrielle|/hurricane/at201307.asp|9/10-9/13|60|1003|0|0|None
2013|Tropical Depression Eight|/hurricane/at201308.asp|9/06-9/7|35|1009|0|0|None
