Date,Open,High,Low,Close,Volume
2/20/2009,201.6,203.02,194.42,199.74,"35,942,879"
2/23/2009,199.88,202.61,191,191.07,"26,161,584"
2/24/2009,191.09,202.69,190.82,202.56,"34,047,020"
2/25/2009,202.55,202.55,192.57,197.4,"27,898,511"
2/26/2009,197.41,200.82,194.42,195.79,"24,746,666"
2/27/2009,195.64,195.64,189.41,190.46,"40,035,135"
3/2/2009,190.44,192.35,185.22,185.6,"30,148,214"
3/3/2009,185.6,188.3,177.62,179.15,"33,012,906"
3/4/2009,179.17,187.63,176.57,183.51,"27,836,056"
3/5/2009,183.36,183.37,168.29,170.84,"33,928,461"
3/6/2009,170.85,173.46,167.27,172.75,"27,856,316"
3/9/2009,172.68,174.12,166.68,168.68,"26,021,137"
3/10/2009,168.73,180.5,168.73,180.5,"37,749,625"
3/11/2009,180.55,183.46,174.78,178.03,"29,075,331"
3/12/2009,178,188.74,173.04,187.7,"33,922,857"
3/13/2009,187.7,193.35,186.14,192.95,"26,928,506"
3/16/2009,193.01,199.45,189.94,190.64,"31,517,613"
3/17/2009,190.66,202.33,188.53,202.31,"24,740,366"
3/18/2009,202.31,211.93,195.83,211.93,"45,782,936"
3/19/2009,211.96,215,204.31,204.85,"38,658,046"
3/20/2009,204.86,207.42,202.69,203.14,"40,102,972"
3/23/2009,203.17,218.23,203.17,217.87,"44,483,570"
3/24/2009,217.84,217.84,205.55,205.59,"35,671,407"
3/25/2009,205.61,213.54,202.04,212.23,"32,556,492"
3/26/2009,212.25,214.37,208.02,214.09,"34,562,758"
3/27/2009,213.95,215.17,208.83,211.28,"24,487,014"
3/30/2009,211.25,211.25,201.76,202.23,"33,469,233"
3/31/2009,202.25,211.63,202.2,210.97,"32,352,114"
4/1/2009,210.94,217.02,206.32,216.28,"24,849,608"
4/2/2009,216.32,221.65,216.32,219.4,"35,817,156"
4/3/2009,219.39,223.23,215.77,223.18,"25,907,872"
4/6/2009,223.16,223.16,217.73,219.74,"20,514,528"
4/7/2009,219.71,220.67,215.46,215.46,"20,768,066"
4/8/2009,215.48,221.39,215.48,220.55,"20,194,426"
4/9/2009,220.58,231.15,219.41,230.7,"45,155,811"
4/13/2009,230.68,237.8,226.72,236.72,"28,251,967"
4/14/2009,236.69,236.69,223.15,223.7,"32,716,317"
4/15/2009,223.69,235.05,220.47,234.64,"25,376,426"
4/16/2009,234.7,236.45,228.21,234.2,"22,765,558"
4/17/2009,234.16,234.49,227.47,231.04,"35,993,099"
4/20/2009,230.98,230.98,217.81,217.92,"36,937,388"
4/21/2009,217.91,232.14,215.92,231.79,"34,525,485"
